Startdatum,Enddatum,Ort,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar,Anzahl der Waldbrände
2022-09-01,2022-09-30,Thuringen,3,30,13.3,15.0,3.0,71.3,540752,1
2013-02-01,2013-02-28,Rheinland-Pfalz,4,28,-0.8,15.6,1.8,91.1,805440,0
2012-06-01,2012-06-30,Schleswig-Holstein,2,30,13.0,20.3,3.8,85.0,162014,0
2014-06-01,2014-06-30,Schleswig-Holstein,2,30,15.1,17.8,1.6,78.3,162014,1
2010-02-01,2010-02-28,Nordrhein-Westfalen,4,28,0.4,22.2,2.6,94.8,849507,0
2019-03-01,2019-03-31,Sachsen,1,31,6.9,23.0,1.9,74.1,495184,2
2018-07-01,2018-07-31,Sachsen-Anhalt,2,31,21.8,14.1,0.7,62.0,456545,72
2019-07-01,2019-07-31,Hessen,2,31,21.2,10.8,2.1,71.2,839306,25
2018-02-01,2018-02-28,Thuringen,4,28,-2.2,16.9,0.2,72.8,527936,0
2021-07-01,2021-07-31,Thuringen,2,31,17.8,13.6,2.8,80.1,540752,1
2019-09-01,2019-09-30,Hessen,3,30,15.8,11.9,1.6,73.8,839306,4
2018-07-01,2018-07-31,Hamburg,2,31,20.6,15.8,0.6,64.2,4016,0
2021-04-01,2021-04-30,Brandenburg,1,30,6.4,17.7,1.3,73.4,1034252,18
